"Reference","Value","Qty","manufacturerName","manufacturerPartNumber","Description","mouserPartNumber","octopartUrl","digikeyPartnumber","digikeyPartNumber"
"R6 R7 R8 R9 R10","CR0603-FX-5101ELF","5","Bourns","CR0603FX-5101ELF","5K1","652-CR0603-FX-5101ELF","https://octopart.com/cr0603-fx-5101elf-bourns-3881280?r=sp","","CR0603-FX-5101ELFCT-ND"
"R11","CR0603-FX-7501ELF","1","Bourns","CR0603JW-752ELF","7K5","652-CR0603-FX-7501ELF","https://octopart.com/cr0603-fx-7501elf-bourns-6075428?r=sp","","CR0603-FX-7501ELFCT-ND"
"R12","CR0603-FX-1002ELF","1","Bourns","CR0603-JW-103ELF","10K","652-CR0603-FX-1002ELF","https://octopart.com/cr0603-fx-1002elf-bourns-2326648?r=sp","","CR0603-FX-1002ELFCT-ND"
"R13","CR0603-FX-2212ELF","1","Bourns","CR0603FX-2212ELF","22K1","652-CR0603-FX-2212ELF","https://octopart.com/cr0603-fx-2212elf-bourns-2326654?r=sp","","CR0603-FX-2212ELFCT-ND"
"R14","CR0603-FX-3742ELF","1","Bourns","CR0603FX-3752ELF","37K4","652-CR0603-FX-3742ELF","https://octopart.com/cr0603-fx-3742elf-bourns-6075679?r=sp","","118-CR0603-FX-3742ELFCT-ND"
"R15","CR0603-FX-4752ELF","1","Bourns","CR0603FX-4752ELF","47K5","652-CR0603-FX-4752ELF","https://octopart.com/cr0603-fx-4752elf-bourns-6075378?r=sp","","CR0603-FX-4752ELFCT-ND"
"R16","CR0603-FX-2203ELF","1","Bourns","CR0603FX-2203ELF","220K","652-CR0603-FX-2203ELF","https://octopart.com/cr0603-fx-2203elf-bourns-3825387?r=sp","","CR0603-FX-2203ELFCT-ND"
"R17 R18","CR0603-FX-1004ELF","2","Bourns","CR0603-FX-1004ELF","1M","652-CR0603-FX-1004ELF","https://octopart.com/cr0603-fx-1004elf-bourns-3899435?r=sp","","CR0603-FX-1004ELFCT-ND"
"SW1","434331045822","1","Wurth Electronics","434331045822","MCU Reset","710-434331045822","https://octopart.com/434331045822-wurth+elektronik-22866031?r=sp","","732-7055-1-ND"
"SW2","SLLB510100","1","Alps Alpine","SLLB510100","Application Navigation Button","688-SLLB510100","https://octopart.com/sllb510100-alps-1050713?r=sp","","4809-SLLB510100CT-ND"
